depth_mm,f_mhz,P_mpa,DC,eta,t_first_hr,n_sessions,spacing_hr,mean_gm2_day365,std_gm2_day365,reduction_pct
37.2592,0.8935,0.2771,0.02150,0.54397,74.256,5,67.306,43.7617,26.2312,66.5901
43.1095,1.0278,0.3054,0.02264,0.52207,71.790,2,48.892,31.3656,14.7984,76.0539
23.4030,0.8967,0.4123,0.02345,0.77074,49.761,3,92.554,52.1764,36.4120,60.1658
27.9654,1.0674,0.4440,0.01536,0.56482,20.422,2,43.036,29.8700,15.4348,77.1957
42.4402,0.6855,0.1582,0.01046,0.18020,63.635,1,13.166,40.7473,17.9085,68.8914
27.4155,1.0894,0.4183,0.01419,0.51075,73.791,4,26.414,24.5499,9.1482,81.2573
42.2708,0.4324,0.2050,0.01944,0.48273,51.148,3,36.869,33.6938,14.3742,74.2764
50.5930,0.5735,0.3465,0.02445,0.67245,30.933,4,80.997,31.5967,13.1762,75.8774
59.7013,0.7528,0.4117,0.01756,0.56104,60.875,1,86.404,41.4024,32.8219,68.3913
51.0343,0.8323,0.4274,0.02175,0.66103,14.560,2,52.891,44.3999,24.3828,66.1028
54.3106,1.0479,0.4879,0.00835,0.25708,58.626,1,23.075,37.5699,17.0812,71.3172
59.1192,0.6677,0.4764,0.02434,0.70865,47.107,4,58.093,41.7859,21.3644,68.0985
42.8874,0.8338,0.1519,0.01618,0.24884,62.650,3,74.991,38.5449,17.3018,70.5729
32.8121,0.6728,0.2521,0.01372,0.39016,11.553,5,79.385,32.4129,12.3351,75.2543
33.5983,0.4915,0.2707,0.00869,0.27791,37.891,1,13.081,27.1487,11.3258,79.2733
43.6069,0.6174,0.4687,0.00933,0.36019,33.971,3,7.167,47.6660,25.8557,63.6093
39.8163,0.5581,0.2236,0.01116,0.28659,56.127,4,22.765,32.7180,10.9570,75.0214
45.7870,0.8510,0.1557,0.02440,0.30348,77.281,3,37.913,32.9524,18.1836,74.8425
41.8113,0.6247,0.3846,0.00795,0.28838,72.451,2,68.954,45.0842,23.4353,65.5804
20.3973,0.5230,0.4470,0.01448,0.61747,87.554,3,53.960,64.0913,39.1830,51.0694
20.4903,0.5814,0.4148,0.01579,0.65484,67.047,2,39.584,42.0985,12.1021,67.8598
22.5157,0.9570,0.3310,0.02472,0.69153,81.945,4,19.748,41.1012,29.9155,68.6212
31.8675,0.5516,0.4855,0.02048,0.82865,45.039,3,47.595,39.1193,19.0943,70.1343
47.9201,0.5005,0.2719,0.00858,0.25635,79.614,4,47.292,25.6958,6.9196,80.3825
49.5515,1.0519,0.2524,0.01938,0.39335,10.819,1,94.426,62.2660,46.2259,52.4630
43.5357,0.6887,0.4555,0.02342,0.74797,86.956,1,86.164,36.0287,14.1914,72.4939
26.8087,1.0807,0.1643,0.02258,0.35206,24.052,4,10.427,37.7544,23.3197,71.1764
48.8599,0.4724,0.4068,0.01072,0.40908,4.008,5,71.786,29.7899,19.5697,77.2568
40.8050,1.0028,0.1854,0.00669,0.11556,87.932,3,85.651,30.3863,9.9563,76.8015
45.2374,0.7749,0.2848,0.01107,0.30403,82.216,1,43.569,53.9194,32.4758,58.8352
41.2619,0.4379,0.2833,0.02337,0.65360,90.102,4,32.546,39.9836,20.6151,69.4744
50.3639,0.8333,0.4684,0.01611,0.55361,65.832,5,53.016,40.2121,32.4923,69.3000
22.0291,0.7950,0.4535,0.00710,0.28886,63.249,1,37.158,52.1828,30.0327,60.1610
45.2833,0.7471,0.3999,0.02468,0.69069,6.066,3,81.981,23.0538,9.2722,82.3996
54.3969,0.9134,0.2020,0.01716,0.29292,5.419,2,84.364,32.8955,15.9120,74.8859
52.6452,0.7195,0.2443,0.02054,0.46853,25.809,3,30.118,25.7860,9.4960,80.3136
47.3403,0.8773,0.4382,0.00699,0.23466,71.118,1,91.655,38.5645,16.0521,70.5579
34.4237,0.9572,0.4009,0.00662,0.22881,90.788,1,77.193,47.0952,20.3411,64.0451
56.9946,1.0418,0.1962,0.01446,0.21421,9.813,2,58.423,41.5603,28.3843,68.2708
57.0111,0.9894,0.4830,0.00975,0.30080,48.947,3,51.005,30.4155,15.5452,76.7793
44.9574,0.7539,0.2242,0.00905,0.20415,62.403,5,44.516,45.2787,23.2318,65.4319
56.4958,0.4356,0.4919,0.01921,0.76524,6.616,3,27.647,34.9558,18.9396,73.3129
26.2766,0.8695,0.1897,0.02162,0.43351,63.173,4,95.154,35.0315,15.8479,73.2552
32.0191,0.8426,0.2872,0.02161,0.59786,68.975,2,52.416,39.5799,12.6030,69.7827
49.3014,0.5494,0.3282,0.00673,0.22302,13.530,3,85.338,28.6700,13.3526,78.1118
30.8418,0.6509,0.2324,0.01685,0.45655,77.939,2,20.808,34.4576,20.0454,73.6933
25.0501,0.4059,0.2838,0.01140,0.40072,52.433,3,52.404,47.2498,26.3125,63.9271
35.2605,1.0579,0.2278,0.01135,0.24716,18.854,1,52.312,39.2925,14.7986,70.0021
59.0099,0.9786,0.4012,0.00925,0.25732,18.425,2,10.955,41.7878,25.1916,68.0970
32.1329,0.5019,0.3171,0.02441,0.71493,29.209,2,33.812,48.5463,29.2541,62.9373
57.9487,0.6788,0.3903,0.00507,0.16583,70.358,4,26.381,34.7531,21.7552,73.4677
56.3450,0.8982,0.3363,0.01186,0.31486,52.050,2,86.224,59.7060,36.8764,54.4174
42.7501,0.4621,0.4156,0.02165,0.78755,70.972,2,71.723,47.3806,27.2904,63.8272
58.6333,1.0336,0.1684,0.00634,0.08085,73.059,3,24.113,27.0683,6.4184,79.3346
31.2710,0.5613,0.4916,0.02270,0.83042,8.833,3,91.178,65.4984,56.7806,49.9952
51.5869,0.7292,0.3939,0.00607,0.20187,83.712,5,28.707,45.5040,21.3484,65.2599
44.6683,0.4398,0.3457,0.00982,0.35863,23.713,1,88.203,26.8988,9.4738,79.4641
37.0297,1.0383,0.4282,0.01981,0.67217,15.237,1,92.279,40.0146,24.0993,69.4508
35.6172,0.7867,0.3892,0.02130,0.71443,22.709,2,32.614,37.5827,12.6033,71.3075
31.7414,0.4779,0.3603,0.00679,0.26183,46.424,1,52.204,57.5441,54.3574,56.0679
36.5482,0.9126,0.4428,0.01421,0.51044,31.928,3,93.323,43.0286,15.9765,67.1497
51.4006,0.5606,0.4543,0.00899,0.34005,20.719,2,12.046,45.8657,31.3427,64.9838
59.6315,0.7026,0.4277,0.02385,0.66809,92.309,5,32.833,46.0202,20.7878,64.8658
45.0937,0.8014,0.4406,0.00786,0.27676,73.211,2,67.284,49.1995,53.0867,62.4385
51.4784,0.4084,0.4260,0.01941,0.76494,61.660,5,52.535,45.1301,20.3841,65.5454
25.6963,0.8829,0.3042,0.01565,0.50826,9.839,4,59.919,47.6201,39.7459,63.6444
48.6887,0.7154,0.1642,0.00679,0.11366,7.672,3,46.315,41.8444,25.1207,68.0538
20.4021,0.5677,0.4573,0.01822,0.77557,72.286,2,94.567,51.5203,29.6732,60.6668
44.2238,0.8999,0.3469,0.00625,0.18836,13.742,5,55.551,39.9101,17.3828,69.5306
53.6850,0.9755,0.2252,0.01204,0.22007,62.954,5,85.420,30.3046,13.2867,76.8639
53.8390,0.9839,0.3605,0.02261,0.54276,8.665,2,16.397,37.0416,24.1822,71.7206
