f_MHz,P_MPa,DC_pct,region,eta,mean_gm2_day365,std_gm2_day365,mean_reduction_pct,std_reduction_pct
1.0,0.35,2.0,Cerebellum,0.6022405034366881,31.15379,29.482452,78.97259,19.89933
1.0,0.35,2.0,Hippocampus,0.5576634409660407,31.25251,29.532204,78.90596,19.93291
1.0,0.45,0.5,Frontal Cortex,0.1917915268485893,34.977623,31.49537,76.39167,21.257961
1.0,0.45,0.5,Parietal Cortex,0.17784917946705717,35.355854,31.699472,76.13638,21.395721
1.0,0.45,0.5,Thalamus,0.15136151616869445,36.16938,32.14002,75.58729,21.693071
1.0,0.45,0.5,Basal Ganglia,0.15780120984177773,35.95939,32.026123,75.72903,21.616194
1.0,0.45,0.5,Temporal Lobe,0.16436497616465845,35.753628,31.914635,75.86791,21.540945
1.0,0.45,0.5,Occipital Lobe,0.18476391414447277,35.16423,31.596006,76.265724,21.325886
1.0,0.45,0.5,Cerebellum,0.171048732821578,35.552372,31.805712,76.00375,21.467426
1.0,0.45,0.5,Hippocampus,0.16041207227485335,35.87656,31.981228,75.784935,21.585894
1.0,0.45,1.0,Frontal Cortex,0.3835830536971786,32.06991,29.951572,78.35425,20.215967
1.0,0.45,1.0,Parietal Cortex,0.35569835893411433,32.307644,30.075325,78.19379,20.299496
1.0,0.45,1.0,Thalamus,0.3027230323373889,32.893482,30.382732,77.79837,20.506979
1.0,0.45,1.0,Basal Ganglia,0.31560241968355546,32.73249,30.297945,77.907036,20.449753
1.0,0.45,1.0,Temporal Lobe,0.3287299523293169,32.58135,30.218548,78.009056,20.396164
1.0,0.45,1.0,Occipital Lobe,0.36952782828894554,32.184467,30.011126,78.27693,20.25616
1.0,0.45,1.0,Cerebellum,0.342097465643156,32.439823,30.1444,78.104576,20.346117
1.0,0.45,1.0,Hippocampus,0.3208241445497067,32.67086,30.265547,77.94863,20.427885
1.0,0.45,2.0,Frontal Cortex,0.7671661073943572,30.959845,29.385622,79.10349,19.833977
1.0,0.45,2.0,Parietal Cortex,0.7113967178682287,31.004068,29.40757,79.07365,19.84879
1.0,0.45,2.0,Thalamus,0.6054460646747778,31.147728,29.479404,78.97668,19.897274
1.0,0.45,2.0,Basal Ganglia,0.6312048393671109,31.103294,29.457111,79.00667,19.882227
1.0,0.45,2.0,Temporal Lobe,0.6574599046586338,31.06501,29.437954,79.03252,19.869295
1.0,0.45,2.0,Occipital Lobe,0.7390556565778911,30.98015,29.395687,79.08979,19.840769
1.0,0.45,2.0,Cerebellum,0.684194931286312,31.032152,29.421555,79.05469,19.858229
1.0,0.45,2.0,Hippocampus,0.6416482890994134,31.087286,29.449093,79.01747,19.876816
